direction	ontology	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
up	BP	GO:0006334	nucleosome assembly	51/2405	100/15715	0.51	3.3324948024948	9.94630053014095	6.77683383768785e-17	3.91362154126473e-13	3.59885544327739e-13	ASF1B/MACROH2A1/H3C10/H3C12/H2AX/H3C15/MCM2/H3C14/H3C4/ATAD2/H2BC6/H2BC17/H4C9/H4C14/H2BC9/H4C5/H2BC4/CHAF1B/SMYD3/H2BC7/H2BC11/H4C12/H4C8/H2BC21/H4C15/CHAF1A/H1-2/H3C8/H2BC8/H4C4/HMGB2/H2BC15/H2BC13/H4C11/H1-3/H1-6/H3C6/H1-4/H1-5/H4C3/H3C7/H4C16/H2BC10/H2BC14/H3C13/H4C2/H4C1/H2BC3/H2AB1/H3C1/H2AB3	51
up	BP	GO:0034728	nucleosome organization	54/2405	119/15715	0.453781512605042	2.96514614161673	9.14689318335997	5.30129466976312e-15	1.5307488358941e-11	1.40763324257658e-11	ASF1B/MACROH2A1/H3C10/H3C12/H2AX/H3C15/MCM2/H3C14/H3C4/ATAD2/H2BC6/H2BC17/H4C9/H4C14/H2BC9/H4C5/H2BC4/CHAF1B/SMYD3/H2BC7/H2BC11/H4C12/HMGA1/H4C8/H2BC21/H4C15/CHAF1A/H1-2/H3C8/H2BC8/H4C4/HMGB2/H2AC25/H2BC15/H2BC13/H4C11/H1-3/H1-6/H3C6/H1-4/H1-5/H4C3/H3C7/H4C16/H2BC10/H2BC14/H3C13/NFE2/H4C2/H4C1/H2BC3/H2AB1/H3C1/H2AB3	54
up	BP	GO:0098813	nuclear chromosome segregation	100/2405	312/15715	0.320512820512821	2.09432805586652	8.29915851837805	5.91907287533874e-14	1.13942152850271e-10	1.04777974231873e-10	NEK2/KIF4A/UBE2C/TPX2/UHRF1/NUF2/SPC25/NUSAP1/CDK1/PLK1/CENPF/BUB1/KIF18B/CCNB1/PTTG1/KIFC1/DLGAP5/ZWINT/KIF2C/AURKA/ASPM/BUB1B/CDCA5/NDC80/CDCA8/BIRC5/CCNB2/CDC20/SKA1/KIF4B/SKA3/SGO1/TOP2A/FAM83D/KIF14/PRC1/KIF11/KIF23/SPAG5/KNL1/MYBL2/AURKB/RMI2/TACC3/NCAPH/ESPL1/CENPE/TTK/KIF15/NCAPG/TRIP13/RACGAP1/CCNE2/MAD2L1/KIF18A/CDC6/ECT2/KIF22/MND1/CDT1/CENPI/MISP/CENPK/P3H4/PSRC1/SPC24/SMC4/BRIP1/RCC2/ZWILCH/FANCD2/HASPIN/CCNE1/BUB3/DSN1/DCAF13/TUBG1/MAPK15/RCC1/KNSTRN/NCAPG2/GEN1/MEIKIN/KNTC1/ANAPC11/TUBB8/RRS1/HORMAD1/SYCE3/RAD21/DPF1/SYCP2/TEX14/MAEL/TEX11/REC8/TEX15/ACTL6B/KASH5/MAJIN	100
up	BP	GO:0019730	antimicrobial humoral response	60/2405	150/15715	0.4	2.61372141372141	8.44134238978122	1.76771823529352e-13	2.23282240604472e-10	2.05324019840431e-10	CCL11/CXCL11/CXCL10/H2BC6/CAMP/H2BC12L/H2BC12/TOR2A/EVPL/H2BC4/S100A7/H2BC7/H2BC11/CXCL9/H2BC21/GAPDH/H2BC8/BCL3/NOD2/CCL7/ROMO1/SLC11A1/CCL20/PGLYRP4/CCL17/CXCL13/S100A9/PRSS2/H2BC10/ACOD1/LYZ/CST9L/CCL25/WFDC3/CST9/F2/IL36RN/AZU1/WFDC13/PGLYRP3/CCL19/WFDC10B/PRTN3/CCL1/KNG1/DCD/WFDC2/BPIFA1/CALCA/FGB/DEFB126/CCL15/WFDC10A/REG1A/HTN1/NPY/SEMG2/DMBT1/PGC/KRT6A	60
up	BP	GO:0000280	nuclear division	124/2405	427/15715	0.2903981264637	1.89754950410688	7.99298317548829	1.93317957233309e-13	2.23282240604472e-10	2.05324019840431e-10	NEK2/KIF4A/PKMYT1/UBE2C/TPX2/UHRF1/NUF2/SPC25/NUSAP1/CDK1/PLK1/CDC25C/CENPF/BUB1/KIF18B/CCNB1/PTTG1/KIFC1/DLGAP5/CKS2/ZWINT/KIF2C/AURKA/ASPM/BUB1B/CDCA5/NDC80/CDCA8/ANLN/BIRC5/CCNB2/CDC20/SKA1/KIF4B/SKA3/SGO1/TOP2A/KIF14/PRC1/KIF11/KIF23/SPAG5/KNL1/MYBL2/AURKB/RAD51/MKI67/NCAPH/ESPL1/CENPE/UBE2S/TTK/KIF15/NCAPG/TRIP13/RACGAP1/RAD54L/CCNE2/MAD2L1/KIF18A/CDCA2/KIF22/MND1/CDT1/RAD51AP1/CENPI/MISP/CENPK/P3H4/PSRC1/SPC24/SMC4/FBXO43/BRIP1/TESMIN/REEP4/EME1/ZWILCH/FANCD2/HASPIN/CCNE1/RMI1/BUB3/CALR/CHEK1/CENPX/DCAF13/TUBG1/MAPK15/RCC1/HSF2BP/TDRKH/BRCA2/KNSTRN/RAD54B/TEX19/NCAPG2/MYBL1/GEN1/MEIKIN/KNTC1/ANAPC11/TUBB8/RRS1/SPIRE2/HORMAD1/SYCE3/RAD21/CDC25B/SYCP2/TEX14/MAEL/STRA8/DMRT1/TEX11/REC8/DMRTC2/BRDT/TEX15/EPGN/KASH5/ASZ1/MAJIN/TDRD12	124
up	BP	GO:0071459	protein localization to chromosome, centromeric region	27/2405	41/15715	0.658536585365854	4.30307793722428	9.00186955420901	3.33502364249364e-13	3.20996025590013e-10	2.95178846954042e-10	CDK1/BUB1B/KNL1/AURKB/TTK/CENPA/RCC2/H4C9/ZWILCH/HASPIN/H4C14/H4C5/MIS18A/BUB3/H2BC11/H4C12/H4C8/H4C15/KNTC1/H4C4/H4C11/H2AC8/H4C3/H4C16/H2AC4/H4C2/H4C1	27
up	BP	GO:0007059	chromosome segregation	121/2405	419/15715	0.288782816229117	1.88699457673205	7.82259643119202	5.82850393848887e-13	4.80851574925332e-10	4.42177479243254e-10	NEK2/KIF4A/UBE2C/TPX2/UHRF1/NUF2/SPC25/HJURP/NUSAP1/CDK1/PLK1/CENPF/BUB1/KIF18B/CCNB1/PTTG1/KIFC1/DLGAP5/ZWINT/KIF2C/AURKA/ASPM/BUB1B/CDCA5/NDC80/CDCA8/BIRC5/CCNB2/CDC20/SKA1/KIF4B/SKA3/SGO1/TOP2A/FAM83D/KIF14/PRC1/KIF11/KIF23/SPAG5/KNL1/MYBL2/AURKB/RMI2/CENPM/TACC3/MKI67/NCAPH/ESPL1/OIP5/ESCO2/CENPE/TTK/KIF15/CENPU/NCAPG/TRIP13/RACGAP1/CCNE2/MAD2L1/KIF18A/CDCA2/CDC6/ECT2/KIF22/MND1/CDT1/CENPI/STIL/MISP/CENPK/P3H4/PSRC1/SPC24/SMC4/DIAPH3/BRIP1/RCC2/CENPL/ZWILCH/FANCD2/HASPIN/CCNE1/SGO2/CENPP/MIS18A/BUB3/DSN1/CENPX/DCAF13/SAC3D1/TUBG1/MAPK15/RCC1/KNSTRN/CENPH/NCAPG2/GEN1/MEIKIN/KNTC1/CENPN/ANAPC11/TUBB8/RRS1/CENPW/HORMAD1/SYCE3/RAD21/MTCL1/BRCA1/DPF1/SYCP2/TEX14/MAEL/TEX11/REC8/RAD21L1/TEX15/ACTL6B/KASH5/MAJIN	121
up	BP	GO:0006959	humoral immune response	83/2405	252/15715	0.329365079365079	2.1521714021714	7.83758693258518	1.62923131631183e-12	1.1761013564626e-09	1.08150947247279e-09	EXO1/CCL11/CXCL11/CXCL10/H2BC6/CAMP/H2BC12L/H2BC12/TOR2A/FOXJ1/EVPL/H2BC4/S100A7/H2BC7/H2BC11/CXCL9/CFB/H2BC21/GAPDH/H2BC8/BCL3/GATA3/NOD2/CCL7/ROMO1/SLC11A1/SUSD4/CCL20/LTA/PDCD1/CCR7/PGLYRP4/CCL17/CXCL13/S100A9/PRSS2/HPX/C4B/H2BC10/ACOD1/C8G/FCMR/IFNB1/LYZ/HLA-DQB1/CST9L/CCL25/TREM1/IFNG/WFDC3/MS4A1/COLEC10/ZP4/C4A/CST9/F2/IL36RN/AZU1/WFDC13/CR1L/PGLYRP3/KRT1/CCL19/WFDC10B/PRTN3/CCL1/KNG1/DCD/WFDC2/BPIFA1/CR2/CALCA/FGB/DEFB126/CCL15/WFDC10A/REG1A/HTN1/NPY/SEMG2/DMBT1/PGC/KRT6A	83
up	BP	GO:1903046	meiotic cell cycle process	71/2405	202/15715	0.351485148514851	2.2967106481958	7.88465604409557	2.07567094585017e-12	1.33188885692053e-09	1.22476724231744e-09	PKMYT1/NUF2/PLK1/CDC25C/PTTG1/CKS2/ZWINT/AURKA/ASPM/NDC80/CCNB2/CDC20/SKA1/SKA3/SGO1/TOP2A/KNL1/RAD51/NCAPH/ESPL1/TTK/TRIP13/RAD54L/CCNE2/KIF18A/MND1/RAD51AP1/P3H4/SMC4/FBXO43/BRIP1/CDC25A/TESMIN/EME1/FANCD2/CCNE1/RMI1/CALR/CENPX/DCAF13/TUBG1/MAPK15/HSF2BP/TDRKH/BRCA2/RAD54B/TEX19/MYBL1/MEIKIN/TUBB8/SPIRE2/HORMAD1/SYCE3/RAD21/OVOL1/CDC25B/SYCP2/TEX14/MAEL/HUS1B/STRA8/DMRT1/TEX11/REC8/DMRTC2/BRDT/TEX15/KASH5/ASZ1/MAJIN/TDRD12	71
up	BP	GO:0051321	meiotic cell cycle	86/2405	270/15715	0.318518518518519	2.08129668129668	7.61806515699648	5.02600897083655e-12	2.90252018065811e-09	2.66907529030215e-09	NEK2/PKMYT1/NUF2/PLK1/CDC25C/PTTG1/CKS2/ZWINT/PRR19/AURKA/EXO1/ASPM/NDC80/CCNB2/CDC20/SKA1/SKA3/SGO1/TOP2A/KNL1/RAD51/NCAPH/ESPL1/TTK/TRIP13/RAD54L/CCNE2/KIF18A/MND1/H2AX/RAD51AP1/P3H4/SMC4/FBXO43/BRIP1/CDC25A/TESMIN/XRCC2/EME1/FANCD2/CCNE1/RMI1/SGO2/BUB3/CALR/CENPX/DCAF13/TUBG1/MAPK15/HSF2BP/TDRKH/BRCA2/RAD54B/TEX19/MYBL1/MEIKIN/ANAPC11/TUBB8/RSPH1/SPIRE2/HORMAD1/SYCE3/SMC1B/RAD21/OVOL1/CDC25B/SYCP2/TEX14/MAEL/HUS1B/ZFP42/STRA8/DMRT1/TEX11/REC8/DMRTC2/BRDT/RAD21L1/TEX15/TDRD1/KASH5/ASZ1/MAJIN/TDRD12/PIWIL3/FAM9A	86
