direction	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
up	Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	72/1172	119/7732	0.605042016806723	3.99162531906961	13.9005661475841	4.02238657186738e-30	1.37565620757864e-27	1.29563188525412e-27	9555/8357/8356/3015/8336/8329/3014/3017/333932/126961/8351/8344/6628/8348/3013/54145/8294/85236/8370/128312/8345/941/102724334/8367/8347/8331/8338/8343/8970/2209/8362/8365/8349/554313/8355/8334/8339/8360/92815/8332/440689/8341/8340/8969/8363/3012/2214/8353/317772/8364/8330/8968/721/55766/121504/8346/8335/733/8342/653604/3119/3120/3458/720/3117/8366/85235/8359/3018/474382/8350/83740	72
up	Human Diseases	Substance dependence	hsa05034	Alcoholism	77/1172	171/7732	0.450292397660819	2.97070035726404	11.0143469934276	4.12551871717972e-21	7.05463700637733e-19	6.64425646029997e-19	9555/8357/8356/3015/8336/8329/51764/3014/3017/333932/126961/8351/8344/8348/3013/54145/8294/85236/8370/90993/128312/5499/8345/102724334/135/8367/148327/8347/8331/8338/8343/8970/8362/2906/8365/8349/554313/8355/8334/8339/8360/55315/92815/8332/440689/8341/8340/8969/8363/3012/2786/79885/7054/8353/317772/51806/8364/8330/8968/55766/121504/8346/8335/8342/653604/2905/8366/85235/8359/6570/3018/474382/8350/83740/2785/4852/1644	77
up	Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	73/1172	176/7732	0.414772727272727	2.73636751473782	9.84876407644063	1.34187441559162e-17	1.52973683377445e-15	1.44074937252995e-15	9555/8357/8356/3015/8336/8329/3014/3017/333932/5296/126961/8351/8344/8348/820/3013/54145/8294/85236/8370/128312/8345/102724334/8367/8347/8331/8338/8343/8970/2209/8362/8365/8349/554313/8355/8334/8339/8360/92815/8332/440689/8341/8340/8969/8363/3012/79792/79885/2214/8353/317772/64581/8364/8330/8968/55766/121504/8346/8335/8342/653604/8366/85235/8359/566/3018/1379/474382/5582/8350/83740/2244/2266	73
up			hsa04382	Cornified envelope formation	66/1172	195/7732	0.338461538461538	2.23292202677868	7.37026973572458	3.77867636912958e-11	3.23076829560579e-09	3.0428288656675e-09	57402/23581/2125/3856/5522/6278/3880/84283/10999/3875/11187/5652/1366/9080/8688/6282/9074/338324/1041/644672/6768/140576/9119/7357/1365/7053/6279/23562/6280/3881/3849/3713/3850/3892/3858/51702/54474/3887/5046/3886/29943/285848/7062/3885/59344/319101/3848/196374/26154/192666/3891/126637/8687/3883/140807/6273/3868/3889/3884/388698/121214/4014/79852/3853/338785/6699	66
up	Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	89/1172	310/7732	0.287096774193548	1.8940548277001	6.79069535165214	3.60930779226468e-10	2.46876652990904e-08	2.32515407249051e-08	2563/2914/8973/2918/6343/3352/1081/79924/7425/5367/84634/135/55584/283869/2906/10874/9170/27346/1907/55879/3814/4985/4157/5031/7200/79957/2556/5697/1815/9568/2558/5026/2151/6752/7349/51083/4923/2891/5618/5645/5644/57152/887/3354/2905/59350/8811/6870/2900/27334/183/1138/2147/6019/1269/1143/4161/11255/2642/170589/5368/886/4886/2554/10886/22953/6755/2566/1137/3362/3827/797/3358/2925/2691/885/432355/796/200959/1132/1443/3062/4852/4986/114131/2834/5030/2692/4544	89
up	Cellular Processes	Cell growth and death	hsa04110	Cell cycle	48/1172	156/7732	0.307692307692308	2.02992911525335	5.49261772973548	4.99988601297844e-07	2.84993502739771e-05	2.68414933328316e-05	9088/983/5347/995/699/891/9232/701/113130/10403/9133/991/151648/57082/9212/9700/8318/157570/1869/7272/890/9319/9134/4085/990/23594/81620/5111/1870/4171/4998/4173/993/8317/898/9184/1111/10926/1029/90381/1032/51529/4175/27127/5885/994/595/10912	48
up	Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	56/1172	196/7732	0.285714285714286	1.88493417844954	5.303936092435	8.63446227290641e-07	4.21855156761999e-05	3.97315106091633e-05	983/991/890/9134/3017/5296/3665/8344/8348/54145/8294/85236/7186/8370/90993/128312/8345/898/102724334/581/8367/1237/148327/8347/9261/1111/8343/8970/578/1029/8362/8365/8349/554313/3249/5366/8339/8360/10379/440689/8341/8340/23513/8363/79885/1233/595/8364/121504/8346/8342/8366/8359/1232/3018/245972	56
up	Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	64/1172	253/7732	0.25296442687747	1.66887452953635	4.57207004530714	1.35102551994511e-05	0.000577563409776536	0.000543965538293691	3624/6356/6373/3627/8784/50615/353500/84957/3604/7292/658/1237/4283/3581/29949/268/50604/9518/3589/2056/6354/4050/6364/246778/7293/4049/3606/1233/1236/3623/7852/3593/2833/282618/282616/5008/2661/6361/7066/282617/11009/10563/5618/284340/51330/27189/3456/8771/656/6370/3458/1441/26525/3561/3560/1232/3595/59067/6363/6346/133396/6359/56300/1443	64
up			hsa04082	Neuroactive ligand signaling	47/1172	180/7732	0.261111111111111	1.72262040197194	4.14615184889856	8.17531590112975e-05	0.0031066200424293	0.00292590253303591	2563/2914/51764/8973/2918/3352/135/2906/6532/55879/6536/63910/4985/5031/2556/2786/1815/9568/2558/5026/6505/2891/3354/6506/2905/6511/3359/6870/2900/6570/1143/11255/5368/246213/2554/22953/5582/2566/1137/3362/3358/6538/2785/200959/1132/4986/5030	47
up	Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	28/1172	95/7732	0.294736842105263	1.94445841566373	3.91483056943236	0.000265984375298476	0.00909666563520789	0.00856749672014039	1300/1301/1277/478/169044/1289/1290/255631/1278/1360/1303/1280/6505/6543/1281/256076/5645/23428/1299/5644/6564/1297/8645/480/57642/136227/1302/1504	28
