trait	module	gene_id	gene_symbol	module_membership_kME	gene_significance	module_trait_cor	module_trait_pval
ER_status	turquoise	ENSG00000129514.5	FOXA1	-0.905437103880613	0.700997792457749	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000115648.13	MLPH	-0.901041076039606	0.707516689025962	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000109436.7	TBC1D9	-0.874932347126015	0.709104843809135	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000091831.22	ESR1	-0.872323758758765	0.797048125502413	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000100219.16	XBP1	-0.864240068869179	0.670543480203	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000107485.15	GATA3	-0.861130376145533	0.741013828616721	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000135069.13	PSAT1	0.847821290090972	-0.689794742572092	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000187720.14	THSD4	-0.846556272002597	0.693846225397316	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000053524.12	MCF2L2	0.835109517996655	-0.686149220558586	-0.779021175009806	7.98621774818896e-224
ER_status	turquoise	ENSG00000074410.13	CA12	-0.834602574442038	0.728693429463907	-0.779021175009806	7.98621774818896e-224
PR_status	turquoise	ENSG00000129514.5	FOXA1	-0.905437103880613	0.576724379995051	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000115648.13	MLPH	-0.901041076039606	0.565710123474665	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000109436.7	TBC1D9	-0.874932347126015	0.583245894143574	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000091831.22	ESR1	-0.872323758758765	0.663024386241128	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000100219.16	XBP1	-0.864240068869179	0.557065933590031	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000107485.15	GATA3	-0.861130376145533	0.60055908245727	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000135069.13	PSAT1	0.847821290090972	-0.599368453984272	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000187720.14	THSD4	-0.846556272002597	0.605266527618865	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000053524.12	MCF2L2	0.835109517996655	-0.556440458544241	-0.667561399483776	3.47195735430354e-142
PR_status	turquoise	ENSG00000074410.13	CA12	-0.834602574442038	0.638637048663659	-0.667561399483776	3.47195735430354e-142
HER2_status	greenyellow	ENSG00000108309.13	RUNDC3A	0.915408768414195	-0.149008758193854	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000145920.14	CPLX2	0.88061903205339	-0.0810539769494201	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000102003.10	SYP	0.858402318305729	-0.0863508744357958	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000260903.2	XKR7	0.85392800150229	-0.097900804610306	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000130477.15	UNC13A	0.842598801819502	-0.0990325806013273	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000132639.12	SNAP25	0.840399275010562	-0.145340672130562	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000063015.19	SEZ6	0.816135783235123	-0.100049815196955	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000160716.5	CHRNB2	0.807467553814271	-0.15316054168439	-0.136337472145366	5.96807655364963e-06
HER2_status	greenyellow	ENSG00000132872.11	SYT4	0.805110116989507	-0.0896122560285352	-0.136337472145366	5.96807655364963e-06
stage_Stage I	black	ENSG00000154721.14	JAM2	0.897522022743916	0.0546343422200264	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000183722.7	LHFP	0.896399940492539	0.0660966151350595	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000170989.8	S1PR1	0.889922858403233	0.088820992246112	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000141338.13	ABCA8	0.87071272369272	0.0891327079459676	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000046889.18	PREX2	0.869225714891039	0.104893137214164	0.0961761472651021	0.00144106119377378
stage_Stage I	black	ENSG00000017427.15	IGF1	0.86799581165817	0.114886150437873	0.0961761472651021	0.00144106119377378
