gene_id	module
ENSG00000187634.11	salmon
ENSG00000188290.10	salmon
ENSG00000187608.8	cyan
ENSG00000188157.14	salmon
ENSG00000186891.13	salmon
ENSG00000107404.19	salmon
ENSG00000162576.16	pink
ENSG00000175756.13	salmon
ENSG00000221978.11	red
ENSG00000235098.8	pink
ENSG00000179403.11	salmon
ENSG00000215915.9	red
ENSG00000160072.19	salmon
ENSG00000197785.13	salmon
ENSG00000228594.3	salmon
ENSG00000197530.12	red
ENSG00000149527.17	turquoise
ENSG00000157873.17	brown
ENSG00000130762.14	red
ENSG00000162591.15	pink
ENSG00000069424.14	brown
ENSG00000097021.19	turquoise
ENSG00000069812.11	grey
ENSG00000187017.15	red
ENSG00000215788.9	brown
ENSG00000049246.14	salmon
ENSG00000116285.12	turquoise
ENSG00000074800.13	turquoise
ENSG00000142583.17	brown
ENSG00000171621.13	blue
ENSG00000162444.11	purple
ENSG00000130940.14	turquoise
ENSG00000116649.9	turquoise
ENSG00000116661.9	blue
ENSG00000083444.16	turquoise
ENSG00000028137.18	brown
ENSG00000162496.8	salmon
ENSG00000162493.16	blue
ENSG00000142634.12	brown
ENSG00000162458.12	turquoise
ENSG00000183888.4	turquoise
ENSG00000173641.17	purple
ENSG00000142627.12	turquoise
ENSG00000142632.16	salmon
ENSG00000219481.10	grey
ENSG00000058453.16	red
ENSG00000117122.13	pink
ENSG00000117115.12	turquoise
ENSG00000142619.4	grey
ENSG00000117148.7	turquoise
ENSG00000117154.11	turquoise
ENSG00000179023.8	turquoise
ENSG00000009709.11	grey
ENSG00000159423.16	grey
ENSG00000255275.3	grey
ENSG00000169991.10	turquoise
ENSG00000162482.4	turquoise
ENSG00000270136.5	pink
ENSG00000158747.13	pink
ENSG00000188257.10	brown
ENSG00000117215.14	brown
ENSG00000162543.5	turquoise
ENSG00000162545.5	turquoise
ENSG00000162551.13	brown
ENSG00000076864.19	brown
ENSG00000187942.11	pink
ENSG00000142798.17	blue
ENSG00000162552.14	grey
ENSG00000173372.16	brown
ENSG00000159189.11	brown
ENSG00000173369.15	brown
ENSG00000133216.16	brown
ENSG00000204219.9	turquoise
ENSG00000007968.6	turquoise
ENSG00000117318.8	pink
ENSG00000117308.14	red
ENSG00000158055.15	turquoise
ENSG00000184454.6	turquoise
ENSG00000169504.14	turquoise
ENSG00000020633.18	brown
ENSG00000117643.14	turquoise
ENSG00000117632.22	turquoise
ENSG00000158008.9	turquoise
ENSG00000158014.14	grey
ENSG00000142684.8	salmon
ENSG00000236782.6	salmon
ENSG00000169442.8	brown
ENSG00000131914.10	grey
ENSG00000175793.11	salmon
ENSG00000253368.3	grey
ENSG00000158246.7	turquoise
ENSG00000142765.17	red
ENSG00000126709.14	cyan
ENSG00000130775.15	brown
ENSG00000130768.14	blue
ENSG00000169403.11	brown
ENSG00000116329.10	magenta
ENSG00000060656.19	grey
ENSG00000162511.7	brown
ENSG00000084628.9	turquoise
ENSG00000121769.7	grey
ENSG00000168528.11	red
ENSG00000142910.15	turquoise
ENSG00000084636.17	pink
ENSG00000121753.12	turquoise
ENSG00000134668.12	pink
ENSG00000182866.16	brown
ENSG00000175130.6	salmon
ENSG00000121900.18	salmon
ENSG00000189280.3	turquoise
ENSG00000188910.7	turquoise
ENSG00000092853.13	turquoise
ENSG00000171812.12	blue
ENSG00000142694.6	red
ENSG00000214193.10	red
ENSG00000119535.17	grey
ENSG00000163873.9	turquoise
ENSG00000163874.10	brown
ENSG00000163879.10	turquoise
ENSG00000169218.13	blue
ENSG00000134690.10	turquoise
ENSG00000183317.16	turquoise
ENSG00000185090.14	greenyellow
ENSG00000127603.23	salmon
ENSG00000163909.7	blue
ENSG00000116985.11	blue
ENSG00000116990.10	brown
ENSG00000168389.17	turquoise
ENSG00000049089.13	grey
ENSG00000117016.9	turquoise
ENSG00000117013.14	turquoise
ENSG00000179862.6	salmon
ENSG00000171793.13	turquoise
ENSG00000127129.9	pink
ENSG00000177181.14	grey
ENSG00000065978.18	turquoise
ENSG00000117394.20	turquoise
ENSG00000117399.13	turquoise
ENSG00000117407.16	tan
ENSG00000159214.12	red
ENSG00000196517.11	grey
ENSG00000142945.12	turquoise
ENSG00000162415.6	turquoise
ENSG00000186603.5	turquoise
ENSG00000117461.14	salmon
ENSG00000278139.1	salmon
ENSG00000117472.9	turquoise
ENSG00000085999.11	turquoise
ENSG00000117480.15	turquoise
ENSG00000142973.13	turquoise
ENSG00000186377.7	turquoise
ENSG00000186160.4	turquoise
ENSG00000162366.7	turquoise
ENSG00000123473.15	turquoise
ENSG00000269113.3	black
ENSG00000085831.15	turquoise
ENSG00000169213.6	grey
ENSG00000085840.12	turquoise
ENSG00000134744.13	red
ENSG00000116157.5	turquoise
ENSG00000203995.9	turquoise
ENSG00000121310.16	red
ENSG00000174348.13	blue
ENSG00000157193.15	turquoise
ENSG00000211452.10	magenta
ENSG00000006555.10	turquoise
ENSG00000116133.11	turquoise
ENSG00000162407.8	black
ENSG00000162409.10	turquoise
ENSG00000187889.12	turquoise
ENSG00000184292.6	magenta
ENSG00000177606.6	pink
ENSG00000134709.10	turquoise
ENSG00000134716.9	grey
ENSG00000162599.15	turquoise
ENSG00000132849.19	turquoise
ENSG00000132854.18	blue
ENSG00000185483.11	turquoise
ENSG00000158966.13	black
ENSG00000162437.14	pink
ENSG00000162433.14	grey
ENSG00000116675.15	grey
ENSG00000116678.19	black
ENSG00000184588.17	brown
ENSG00000081985.10	turquoise
ENSG00000116717.11	grey
ENSG00000172380.5	blue
ENSG00000162595.5	turquoise
ENSG00000116729.13	blue
ENSG00000024526.16	turquoise
ENSG00000050628.20	turquoise
ENSG00000172260.14	blue
ENSG00000178965.13	turquoise
ENSG00000137968.16	turquoise
ENSG00000117069.14	grey
ENSG00000154027.18	turquoise
ENSG00000122420.9	turquoise
ENSG00000137959.15	cyan
ENSG00000137965.10	cyan
ENSG00000162618.13	black
ENSG00000117114.19	turquoise
ENSG00000137941.16	grey
ENSG00000142875.19	grey
ENSG00000203943.8	grey
ENSG00000171517.5	turquoise
ENSG00000055732.12	grey
ENSG00000097096.8	turquoise
ENSG00000153904.18	brown
ENSG00000142871.16	pink
ENSG00000137975.7	magenta
ENSG00000143013.12	turquoise
ENSG00000117226.11	brown
ENSG00000117228.9	brown
ENSG00000162645.12	brown
ENSG00000162654.8	brown
ENSG00000154451.14	brown
ENSG00000171488.14	brown
ENSG00000097046.12	turquoise
ENSG00000069702.10	black
ENSG00000172031.6	grey
ENSG00000137936.16	turquoise
ENSG00000198691.11	grey
ENSG00000137962.12	salmon
ENSG00000117528.11	turquoise
ENSG00000117525.13	black
ENSG00000117519.15	blue
ENSG00000152078.9	grey
ENSG00000188641.12	brown
ENSG00000099260.10	black
ENSG00000162688.16	salmon
ENSG00000079335.18	grey
ENSG00000162692.10	brown
ENSG00000170989.8	black
ENSG00000060718.20	blue
ENSG00000240038.6	grey
ENSG00000237763.9	turquoise
ENSG00000162631.18	grey
ENSG00000134215.15	turquoise
ENSG00000196427.13	turquoise
ENSG00000186086.18	turquoise
ENSG00000162636.15	salmon
ENSG00000162639.15	turquoise
ENSG00000116299.16	turquoise
ENSG00000143126.7	brown
ENSG00000168765.16	turquoise
ENSG00000134184.12	turquoise
ENSG00000213366.12	turquoise
ENSG00000134202.10	turquoise
ENSG00000134201.10	black
ENSG00000184371.13	brown
ENSG00000197106.6	turquoise
ENSG00000116396.14	turquoise
ENSG00000168679.17	turquoise
ENSG00000143119.12	brown
ENSG00000064886.13	turquoise
ENSG00000173947.13	turquoise
ENSG00000171385.9	turquoise
ENSG00000155367.15	red
ENSG00000155380.11	turquoise
ENSG00000081026.18	turquoise
ENSG00000116774.11	blue
ENSG00000134198.9	blue
ENSG00000143061.17	salmon
ENSG00000116824.4	brown
ENSG00000134253.9	brown
ENSG00000134258.16	turquoise
ENSG00000183508.4	brown
ENSG00000155761.13	grey
ENSG00000092621.11	turquoise
ENSG00000134240.11	turquoise
ENSG00000134250.19	salmon
ENSG00000174827.13	turquoise
ENSG00000198483.12	turquoise
ENSG00000143127.12	black
ENSG00000265972.5	black
ENSG00000131781.12	turquoise
ENSG00000265107.2	blue
ENSG00000177144.7	salmon
ENSG00000203814.6	grey
ENSG00000270882.2	grey
ENSG00000203812.2	grey
ENSG00000272196.2	grey
ENSG00000184678.10	grey
ENSG00000159164.9	grey
ENSG00000014914.20	grey
ENSG00000023902.13	brown
ENSG00000143401.14	turquoise
