gene_id	gene_name	gene_type	bp_length
ENSG00000187634.11	SAMD11	protein_coding	4166
ENSG00000188976.10	NOC2L	protein_coding	5539
ENSG00000187961.13	KLHL17	protein_coding	3395
ENSG00000187583.10	PLEKHN1	protein_coding	2833
ENSG00000187642.9	PERM1	protein_coding	3424
ENSG00000188290.10	HES4	protein_coding	1118
ENSG00000187608.8	ISG15	protein_coding	942
ENSG00000188157.14	AGRN	protein_coding	10758
ENSG00000237330.2	RNF223	protein_coding	1902
ENSG00000131591.17	C1orf159	protein_coding	6322
ENSG00000162571.13	TTLL10	protein_coding	3943
ENSG00000186891.13	TNFRSF18	protein_coding	1370
ENSG00000186827.10	TNFRSF4	protein_coding	1721
ENSG00000078808.16	SDF4	protein_coding	4709
ENSG00000176022.4	B3GALT6	protein_coding	2777
ENSG00000184163.3	C1QTNF12	protein_coding	1794
ENSG00000160087.20	UBE2J2	protein_coding	4712
ENSG00000162572.20	SCNN1D	protein_coding	4025
ENSG00000131584.18	ACAP3	protein_coding	8809
ENSG00000169972.11	PUSL1	protein_coding	2489
ENSG00000127054.20	INTS11	protein_coding	8220
ENSG00000224051.6	CPTP	protein_coding	2556
ENSG00000169962.4	TAS1R3	protein_coding	3433
ENSG00000107404.19	DVL1	protein_coding	3814
ENSG00000162576.16	MXRA8	protein_coding	3622
ENSG00000175756.13	AURKAIP1	protein_coding	1669
ENSG00000221978.11	CCNL2	protein_coding	6850
ENSG00000242485.5	MRPL20	protein_coding	2788
ENSG00000235098.8	ANKRD65	protein_coding	2644
ENSG00000179403.11	VWA1	protein_coding	5065
ENSG00000215915.9	ATAD3C	protein_coding	3976
ENSG00000160072.19	ATAD3B	protein_coding	7682
ENSG00000197785.13	ATAD3A	protein_coding	3069
ENSG00000205090.8	TMEM240	protein_coding	1380
ENSG00000160075.11	SSU72	protein_coding	6925
ENSG00000228594.3	FNDC10	protein_coding	2085
ENSG00000197530.12	MIB2	protein_coding	8767
ENSG00000189409.13	MMP23B	protein_coding	2273
ENSG00000248333.8	CDK11B	protein_coding	3488
ENSG00000189339.11	SLC35E2B	protein_coding	8395
ENSG00000008128.22	CDK11A	protein_coding	4701
ENSG00000215790.6	SLC35E2	protein_coding	3264
ENSG00000008130.15	NADK	protein_coding	5570
ENSG00000078369.17	GNB1	protein_coding	6417
ENSG00000169885.9	CALML6	protein_coding	2321
ENSG00000178821.12	TMEM52	protein_coding	1594
ENSG00000142609.17	CFAP74	protein_coding	10422
ENSG00000187730.8	GABRD	protein_coding	5556
ENSG00000067606.16	PRKCZ	protein_coding	7636
ENSG00000162585.16	FAAP20	protein_coding	10916
ENSG00000157933.9	SKI	protein_coding	6080
ENSG00000116151.13	MORN1	protein_coding	11337
ENSG00000157916.19	RER1	protein_coding	5691
ENSG00000157911.9	PEX10	protein_coding	3789
ENSG00000149527.17	PLCH2	protein_coding	10781
ENSG00000157881.13	PANK4	protein_coding	5107
ENSG00000197921.5	HES5	protein_coding	1306
ENSG00000157873.17	TNFRSF14	protein_coding	6219
ENSG00000157870.14	FAM213B	protein_coding	3371
ENSG00000142606.15	MMEL1	protein_coding	3844
ENSG00000215912.12	TTC34	protein_coding	8814
ENSG00000142611.16	PRDM16	protein_coding	9767
ENSG00000130762.14	ARHGEF16	protein_coding	5563
ENSG00000162591.15	MEGF6	protein_coding	7039
ENSG00000158109.14	TPRG1L	protein_coding	2414
ENSG00000116213.15	WRAP73	protein_coding	7604
ENSG00000078900.14	TP73	protein_coding	6763
ENSG00000162592.9	CCDC27	protein_coding	4285
ENSG00000235169.7	SMIM1	protein_coding	954
ENSG00000130764.9	LRRC47	protein_coding	4516
ENSG00000116198.12	CEP104	protein_coding	7876
ENSG00000169598.15	DFFB	protein_coding	3870
ENSG00000198912.10	C1orf174	protein_coding	4388
ENSG00000196581.10	AJAP1	protein_coding	12405
ENSG00000131697.17	NPHP4	protein_coding	13167
ENSG00000069424.14	KCNAB2	protein_coding	9534
ENSG00000116254.17	CHD5	protein_coding	9890
ENSG00000116251.9	RPL22	protein_coding	4900
ENSG00000158286.12	RNF207	protein_coding	6585
ENSG00000116237.15	ICMT	protein_coding	4910
ENSG00000158292.6	GPR153	protein_coding	4082
ENSG00000097021.19	ACOT7	protein_coding	4124
ENSG00000069812.11	HES2	protein_coding	5407
ENSG00000187017.15	ESPN	protein_coding	6943
ENSG00000215788.9	TNFRSF25	protein_coding	3918
ENSG00000171680.21	PLEKHG5	protein_coding	7053
ENSG00000162408.10	NOL9	protein_coding	7293
ENSG00000173662.20	TAS1R1	protein_coding	2892
ENSG00000204859.12	ZBTB48	protein_coding	4503
ENSG00000162413.16	KLHL21	protein_coding	6901
ENSG00000116273.5	PHF13	protein_coding	3681
ENSG00000041988.15	THAP3	protein_coding	4072
ENSG00000007923.15	DNAJC11	protein_coding	5083
ENSG00000171735.18	CAMTA1	protein_coding	10033
ENSG00000049245.12	VAMP3	protein_coding	2760
ENSG00000049246.14	PER3	protein_coding	8099
ENSG00000049247.13	UTS2	protein_coding	1791
ENSG00000049249.8	TNFRSF9	protein_coding	6331
ENSG00000116288.12	PARK7	protein_coding	2397
ENSG00000116285.12	ERRFI1	protein_coding	4186
ENSG00000162426.14	SLC45A1	protein_coding	2888
ENSG00000142599.17	RERE	protein_coding	11503
ENSG00000074800.13	ENO1	protein_coding	3958
ENSG00000131686.14	CA6	protein_coding	2662
ENSG00000142583.17	SLC2A5	protein_coding	6693
ENSG00000180758.11	GPR157	protein_coding	5372
ENSG00000049239.12	H6PD	protein_coding	9321
ENSG00000171621.13	SPSB1	protein_coding	3403
ENSG00000171612.6	SLC25A33	protein_coding	3854
ENSG00000188807.12	TMEM201	protein_coding	6966
ENSG00000171608.15	PIK3CD	protein_coding	6332
ENSG00000171603.16	CLSTN1	protein_coding	5559
ENSG00000178585.14	CTNNBIP1	protein_coding	3339
ENSG00000162441.11	LZIC	protein_coding	2794
ENSG00000173614.13	NMNAT1	protein_coding	4610
ENSG00000162444.11	RBP7	protein_coding	861
ENSG00000130939.18	UBE4B	protein_coding	9128
ENSG00000054523.17	KIF1B	protein_coding	17720
ENSG00000142657.20	PGD	protein_coding	2966
ENSG00000175279.21	CENPS	protein_coding	1739
ENSG00000241563.3	CORT	protein_coding	1130
ENSG00000251503.8	APITD1-CORT	protein_coding	2244
ENSG00000160049.11	DFFA	protein_coding	6622
ENSG00000142655.12	PEX14	protein_coding	2995
ENSG00000130940.14	CASZ1	protein_coding	11336
ENSG00000175262.14	C1orf127	protein_coding	3573
ENSG00000120948.16	TARDBP	protein_coding	6071
ENSG00000277726.4	RP4-635E18.9	protein_coding	2205
ENSG00000009724.16	MASP2	protein_coding	4251
ENSG00000116649.9	SRM	protein_coding	1898
ENSG00000171824.13	EXOSC10	protein_coding	6003
ENSG00000171819.4	ANGPTL7	protein_coding	2238
ENSG00000198793.12	MTOR	protein_coding	12119
ENSG00000120942.13	UBIAD1	protein_coding	5082
ENSG00000204624.7	DISP3	protein_coding	6142
ENSG00000116661.9	FBXO2	protein_coding	2333
ENSG00000132879.13	FBXO44	protein_coding	3527
ENSG00000116663.10	FBXO6	protein_coding	1811
ENSG00000116670.14	MAD2L2	protein_coding	3324
ENSG00000162490.6	DRAXIN	protein_coding	7346
ENSG00000177674.15	AGTRAP	protein_coding	2435
ENSG00000215910.7	C1orf167	protein_coding	6499
ENSG00000177000.10	MTHFR	protein_coding	10214
ENSG00000011021.21	CLCN6	protein_coding	6938
ENSG00000175206.10	NPPA	protein_coding	1120
ENSG00000120937.8	NPPB	protein_coding	694
ENSG00000116685.15	KIAA2013	protein_coding	3281
ENSG00000083444.16	PLOD1	protein_coding	5320
ENSG00000116688.16	MFN2	protein_coding	4973
ENSG00000116691.10	MIIP	protein_coding	2821
ENSG00000120949.14	TNFRSF8	protein_coding	3738
ENSG00000028137.18	TNFRSF1B	protein_coding	3766
ENSG00000048707.13	VPS13D	protein_coding	20023
ENSG00000162496.8	DHRS3	protein_coding	3036
ENSG00000188984.11	AADACL3	protein_coding	4049
ENSG00000157330.9	C1orf158	protein_coding	4118
ENSG00000179172.9	HNRNPCL1	protein_coding	1108
ENSG00000162494.5	LRRC38	protein_coding	2209
ENSG00000162493.16	PDPN	protein_coding	3707
ENSG00000116731.22	PRDM2	protein_coding	10923
ENSG00000189337.16	KAZN	protein_coding	13841
ENSG00000171729.13	TMEM51	protein_coding	2240
